"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 23 16:02:19 GMT 2024","Sun Jun 23 16:02:19 GMT 2024","497","Mobile Chrome","example.spec.js","","","","has title",""
"passed","Sun Jun 23 16:02:05 GMT 2024","Sun Jun 23 16:02:06 GMT 2024","1741","chromium","demo..spec.js","","","","has title",""
"passed","Sun Jun 23 16:02:15 GMT 2024","Sun Jun 23 16:02:16 GMT 2024","680","webkit","example.spec.js","","","","has title",""
"passed","Sun Jun 23 16:02:20 GMT 2024","Sun Jun 23 16:02:22 GMT 2024","2024","Mobile Safari","demo..spec.js","","","","has title",""
"passed","Sun Jun 23 16:02:22 GMT 2024","Sun Jun 23 16:02:23 GMT 2024","683","Mobile Safari","example.spec.js","","","","has title",""
"passed","Sun Jun 23 16:02:19 GMT 2024","Sun Jun 23 16:02:20 GMT 2024","663","Mobile Chrome","example.spec.js","","","","get started link",""
"passed","Sun Jun 23 16:02:11 GMT 2024","Sun Jun 23 16:02:12 GMT 2024","774","firefox","example.spec.js","","","","get started link",""
"passed","Sun Jun 23 16:02:06 GMT 2024","Sun Jun 23 16:02:07 GMT 2024","443","chromium","example.spec.js","","","","has title",""
"passed","Sun Jun 23 16:02:10 GMT 2024","Sun Jun 23 16:02:11 GMT 2024","511","firefox","example.spec.js","","","","has title",""
"passed","Sun Jun 23 16:02:07 GMT 2024","Sun Jun 23 16:02:08 GMT 2024","715","chromium","example.spec.js","","","","get started link",""
"passed","Sun Jun 23 16:02:23 GMT 2024","Sun Jun 23 16:02:24 GMT 2024","1079","Mobile Safari","example.spec.js","","","","get started link",""
"passed","Sun Jun 23 16:02:16 GMT 2024","Sun Jun 23 16:02:17 GMT 2024","1526","webkit","example.spec.js","","","","get started link",""
"passed","Sun Jun 23 16:02:18 GMT 2024","Sun Jun 23 16:02:19 GMT 2024","1208","Mobile Chrome","demo..spec.js","","","","has title",""
"passed","Sun Jun 23 16:02:08 GMT 2024","Sun Jun 23 16:02:10 GMT 2024","2187","firefox","demo..spec.js","","","","has title",""
"passed","Sun Jun 23 16:02:12 GMT 2024","Sun Jun 23 16:02:15 GMT 2024","2548","webkit","demo..spec.js","","","","has title",""
