"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 23 20:10:24 IST 2024","Sun Jun 23 20:10:29 IST 2024","5570","firefox","example.spec.js","","","","get started link",""
"passed","Sun Jun 23 20:10:31 IST 2024","Sun Jun 23 20:10:35 IST 2024","3331","webkit","example.spec.js","","","","get started link",""
"passed","Sun Jun 23 20:10:28 IST 2024","Sun Jun 23 20:10:31 IST 2024","2481","webkit","example.spec.js","","","","has title",""
"passed","Sun Jun 23 20:10:32 IST 2024","Sun Jun 23 20:10:38 IST 2024","6366","Mobile Chrome","demo..spec.js","","","","has title",""
"passed","Sun Jun 23 20:10:13 IST 2024","Sun Jun 23 20:10:22 IST 2024","8561","chromium","example.spec.js","","","","has title",""
"passed","Sun Jun 23 20:10:13 IST 2024","Sun Jun 23 20:10:26 IST 2024","12462","chromium","demo..spec.js","","","","has title",""
"passed","Sun Jun 23 20:10:13 IST 2024","Sun Jun 23 20:10:23 IST 2024","9102","chromium","example.spec.js","","","","get started link",""
"passed","Sun Jun 23 20:10:35 IST 2024","Sun Jun 23 20:10:38 IST 2024","3141","Mobile Safari","demo..spec.js","","","","has title",""
"passed","Sun Jun 23 20:10:13 IST 2024","Sun Jun 23 20:10:23 IST 2024","9246","firefox","demo..spec.js","","","","has title",""
"passed","Sun Jun 23 20:10:32 IST 2024","Sun Jun 23 20:10:35 IST 2024","2655","Mobile Chrome","example.spec.js","","","","get started link",""
"passed","Sun Jun 23 20:10:25 IST 2024","Sun Jun 23 20:10:31 IST 2024","5851","webkit","demo..spec.js","","","","has title",""
"passed","Sun Jun 23 20:10:35 IST 2024","Sun Jun 23 20:10:37 IST 2024","1242","Mobile Safari","example.spec.js","","","","has title",""
"passed","Sun Jun 23 20:10:32 IST 2024","Sun Jun 23 20:10:34 IST 2024","1809","Mobile Chrome","example.spec.js","","","","has title",""
"passed","Sun Jun 23 20:10:36 IST 2024","Sun Jun 23 20:10:38 IST 2024","1851","Mobile Safari","example.spec.js","","","","get started link",""
"passed","Sun Jun 23 20:10:23 IST 2024","Sun Jun 23 20:10:28 IST 2024","4650","firefox","example.spec.js","","","","has title",""
